"","Gene","Tissue","Group","Amplitude","Phase","peakTime","Basal","R2","pvalue","circgene"
"417","Tef","muscle","old",0.159,20.8,9.18,8.74,0.379,0.117,"No"
"439","Abcc1","muscle","young",0.22,17.4,12.6,6.04,0.377,0.119,"No"
"287","Igfbp5","muscle","aged",0.376,13.3,16.7,9.45,0.374,0.121,"No"
"311","Ulk1","muscle","aged",0.258,15.8,14.2,6.8,0.374,0.122,"No"
"36","Klra4","muscle","old",0.0455,20,10,0.0228,0.372,0.123,"No"
"435","Atp1b1","muscle","old",0.397,4.21,1.79,7.24,0.372,0.123,"No"
"16","Podxl","muscle","young",0.241,2.29,3.71,6.05,0.371,0.124,"No"
"349","Bcl6","muscle","young",0.164,7.55,22.5,6.82,0.37,0.125,"No"
"55","Mapre2","muscle","young",0.0934,10,20,5.87,0.368,0.127,"No"
"226","Rps2","muscle","young",0.0809,6.93,23.1,9.34,0.364,0.13,"No"
"283","Gna11","muscle","young",0.0497,6.62,23.4,6.12,0.365,0.13,"No"
"69","Ky","muscle","old",0.457,23.9,6.1,8.16,0.363,0.131,"No"
"427","Cyp4f13","muscle","young",0.185,2.06,3.94,3.15,0.363,0.131,"No"
"1","Mst1","muscle","young",0.057,0.465,5.53,0.0428,0.363,0.132,"No"
"354","Chd7","muscle","old",0.276,6.23,23.8,5.55,0.362,0.133,"No"
"306","Taok1","muscle","old",0.317,2.78,3.22,5.93,0.36,0.134,"No"
"370","Hey1","muscle","young",0.2,10.8,19.2,2.8,0.36,0.134,"No"
"159","Slmap","muscle","old",0.303,3.51,2.49,6.49,0.356,0.138,"No"
"216","Ddit4l","muscle","old",0.217,11.4,18.6,8.6,0.356,0.138,"No"
"351","Bcl6","muscle","old",0.252,5.77,0.225,6.17,0.356,0.138,"No"
"10","Emp1","muscle","young",0.38,3.44,2.56,5.54,0.352,0.142,"No"
"260","Fzd7","muscle","aged",0.191,21.1,8.92,6.43,0.347,0.147,"No"
"299","Prkca","muscle","aged",0.225,16.9,13.1,6.45,0.347,0.147,"No"
"270","P2ry1","muscle","old",0.313,6.18,23.8,3.2,0.345,0.149,"No"
"477","Cep350","muscle","old",0.379,4.63,1.37,5.98,0.344,0.15,"No"
"171","Mmp11","muscle","old",0.216,3.94,2.06,2.12,0.335,0.16,"No"
"467","Rragc","muscle","aged",0.0722,17.7,12.3,5.44,0.335,0.16,"No"
"263","Gpr146","muscle","aged",0.0916,3.9,2.1,5.78,0.333,0.161,"No"
"273","Pdgfra","muscle","old",0.231,4.45,1.55,4.71,0.333,0.161,"No"
"384","Leo1","muscle","old",0.209,5.47,0.533,5.36,0.333,0.161,"No"
"261","Fzd7","muscle","old",0.375,0.604,5.4,6.02,0.331,0.163,"No"
"342","Arnt","muscle","old",0.256,2.88,3.12,5.9,0.331,0.164,"No"
"20","Col3a1","muscle","aged",0.44,3.81,2.19,6.23,0.33,0.165,"No"
"368","Foxk2","muscle","aged",0.138,15,15,6.22,0.328,0.167,"No"
"13","Kitl","muscle","young",0.204,12.7,17.3,5.33,0.322,0.174,"No"
"215","Ddit4l","muscle","aged",0.203,4.99,1.01,8.59,0.322,0.174,"No"
"471","Btbd7","muscle","old",0.316,3.5,2.5,4.91,0.322,0.174,"No"
"108","Fech","muscle","old",0.125,6.39,23.6,8.05,0.321,0.176,"No"
"251","Npc1","muscle","aged",0.304,17,13,6.36,0.318,0.178,"No"
"431","Cygb","muscle","aged",0.283,21.3,8.7,4.46,0.319,0.178,"No"
"459","Slc38a4","muscle","old",0.45,6.44,23.6,6.95,0.318,0.179,"No"
"308","Tbc1d4","muscle","aged",0.223,18.3,11.7,6.38,0.317,0.18,"No"
"458","Slc38a4","muscle","aged",0.198,7.52,22.5,7.22,0.317,0.18,"No"
"146","Myh10","muscle","aged",0.383,9.29,20.7,4.94,0.315,0.182,"No"
"429","Cyp4f13","muscle","old",0.271,6.58,23.4,2.83,0.315,0.182,"No"
"346","Asb4","muscle","young",0.0705,10.9,19.1,4.96,0.313,0.185,"No"
"133","Gsta3","muscle","young",0.298,11.3,18.7,1.76,0.312,0.186,"No"
"100","Morc3","muscle","young",0.113,8.1,21.9,4.25,0.31,0.188,"No"
"291","Ipmk","muscle","old",0.273,4.03,1.97,5.01,0.307,0.191,"No"
"143","Actc1","muscle","aged",0.5,16.9,13.1,5.42,0.307,0.192,"No"
"327","Tubb3","muscle","old",0.215,12.1,17.9,0.693,0.305,0.195,"No"
"168","Loxl1","muscle","old",0.268,4.3,1.7,4.13,0.304,0.196,"No"
"474","Arrdc3","muscle","old",0.345,10.1,19.9,5.9,0.302,0.198,"No"
"102","Morc3","muscle","old",0.22,5.68,0.321,4.44,0.298,0.204,"No"
"130","Pipox","muscle","young",0.0598,20.8,9.19,0.102,0.297,0.204,"No"
"262","Gpr146","muscle","young",0.127,3.49,2.51,5.8,0.297,0.204,"No"
"94","Fabp9","muscle","young",0.018,9.62,20.4,0.0103,0.293,0.211,"No"
"80","Ogg1","muscle","aged",0.186,22.7,7.29,3.1,0.291,0.213,"No"
"158","Slmap","muscle","aged",0.103,15,15,6.78,0.29,0.214,"No"
"407","Purb","muscle","aged",0.094,3.56,2.44,6.32,0.29,0.214,"No"
"123","Gpt2","muscle","old",0.238,15.2,14.8,8.11,0.289,0.216,"No"
"11","Emp1","muscle","aged",0.271,2.49,3.51,5.41,0.285,0.221,"No"
"255","Stxbp4","muscle","old",0.315,8.31,21.7,5.79,0.284,0.222,"No"
"185","Denr","muscle","aged",0.195,4.64,1.36,6.39,0.282,0.224,"No"
"468","Rragc","muscle","old",0.0851,2.68,3.32,5.4,0.282,0.224,"No"
"348","Asb4","muscle","old",0.284,6.89,23.1,4.39,0.282,0.225,"No"
"336","Lin7c","muscle","old",0.359,3.76,2.24,4.93,0.281,0.227,"No"
"426","Zhx3","muscle","old",0.187,1.77,4.23,4.53,0.28,0.228,"No"
"77","Cd163","muscle","aged",0.338,16.8,13.2,3.14,0.278,0.231,"No"
"406","Purb","muscle","young",0.0496,8.61,21.4,6.29,0.276,0.233,"No"
"279","Crim1","muscle","old",0.394,1.1,4.9,6.09,0.276,0.234,"No"
"40","Ccnc","muscle","young",0.0691,7.54,22.5,3.82,0.269,0.244,"No"
"246","Pdyn","muscle","old",0.0367,21.2,8.82,0.0207,0.269,0.245,"No"
"199","Trim63","muscle","young",0.164,8.62,21.4,8.61,0.267,0.247,"No"
"83","Sult1a1","muscle","aged",0.225,13.4,16.6,4.45,0.266,0.248,"No"
"298","Prkca","muscle","young",0.148,0.516,5.48,6.62,0.266,0.249,"No"
"155","Serpinh1","muscle","aged",0.25,6.07,23.9,5.47,0.262,0.254,"No"
"463","Slc6a6","muscle","young",0.123,23.1,6.93,7.03,0.261,0.256,"No"
"339","Ston2","muscle","old",0.358,2.79,3.21,6.68,0.26,0.257,"No"
"391","Mycbp","muscle","young",0.0703,9.45,20.5,4.51,0.259,0.26,"No"
"442","Abcc12","muscle","young",0.0461,8.24,21.8,0.0534,0.258,0.262,"No"
"504","Tor1aip2","muscle","old",0.137,1.1,4.9,6.59,0.256,0.264,"No"
"436","Pllp","muscle","young",0.339,1.68,4.32,1.52,0.256,0.265,"No"
"63","G0s2","muscle","old",0.845,10.1,19.9,5.6,0.254,0.268,"No"
"314","Ywhaq","muscle","aged",0.153,2.96,3.04,4.53,0.251,0.273,"No"
"145","Myh10","muscle","young",0.242,3.11,2.89,5.36,0.248,0.278,"No"
"424","Zhx3","muscle","young",0.0828,19.8,10.2,4.98,0.244,0.284,"No"
"193","Psma1","muscle","young",0.0994,6.58,23.4,6.82,0.243,0.285,"No"
"313","Ywhaq","muscle","young",0.142,3.16,2.84,4.58,0.243,0.286,"No"
"161","Adamts9","muscle","aged",0.302,14.4,15.6,2.5,0.242,0.287,"No"
"347","Asb4","muscle","aged",0.105,9.13,20.9,4.8,0.241,0.29,"No"
"501","Tmem165","muscle","old",0.182,2.58,3.42,4.21,0.239,0.292,"No"
"288","Igfbp5","muscle","old",0.438,6.52,23.5,9.49,0.238,0.295,"No"
"366","Fem1c","muscle","old",0.206,4.76,1.24,4.69,0.233,0.303,"No"
"167","Loxl1","muscle","aged",0.215,2.95,3.05,4.13,0.232,0.304,"No"
"296","Nf1","muscle","aged",0.198,14.1,15.9,4.44,0.233,0.304,"No"
"35","Klra4","muscle","aged",0.0469,1.91,4.09,0.0471,0.227,0.313,"No"
"446","Kcng4","muscle","aged",0.237,14.1,15.9,5.31,0.228,0.313,"No"
"496","Prrc1","muscle","young",0.0943,4.18,1.82,5.62,0.227,0.314,"No"
"208","Egln3","muscle","young",0.336,0.442,5.56,5.57,0.225,0.318,"No"
"414","Rora","muscle","old",0.275,22.9,7.1,7.12,0.22,0.326,"No"
"162","Adamts9","muscle","old",0.172,2.55,3.45,2.35,0.219,0.328,"No"
"411","Rarb","muscle","old",0.195,1.22,4.78,4.4,0.219,0.329,"No"
"369","Foxk2","muscle","old",0.177,4.68,1.32,6.08,0.218,0.331,"No"
"319","Nosip","muscle","young",0.0427,6.2,23.8,5.31,0.216,0.335,"No"
"309","Tbc1d4","muscle","old",0.19,3.04,2.96,6.39,0.214,0.338,"No"
"500","Tmem165","muscle","aged",0.0476,2.78,3.22,4.58,0.213,0.34,"No"
"134","Gsta3","muscle","aged",0.454,2.73,3.27,2.03,0.213,0.341,"No"
"192","Fbxo32","muscle","old",0.29,7.47,22.5,9.23,0.213,0.341,"No"
"428","Cyp4f13","muscle","aged",0.201,13.2,16.8,2.79,0.211,0.345,"No"
"388","Mxi1","muscle","young",0.0492,3.9,2.1,6.45,0.21,0.347,"No"
"174","Timp3","muscle","old",0.199,21.6,8.44,7.13,0.208,0.35,"No"
"15","Kitl","muscle","old",0.311,4.77,1.23,4.47,0.206,0.354,"No"
"475","Cep350","muscle","young",0.119,12.9,17.1,6.03,0.204,0.358,"No"
"5","Thbd","muscle","aged",0.275,4.68,1.32,4.5,0.203,0.36,"No"
"4","Thbd","muscle","young",0.171,7.65,22.4,4.66,0.198,0.37,"No"
"116","Dbt","muscle","aged",0.107,6.35,23.6,5.91,0.198,0.37,"No"
"286","Igfbp5","muscle","young",0.185,8.01,22,9.57,0.197,0.372,"No"
"478","Tspan13","muscle","young",0.111,8.07,21.9,5.63,0.197,0.372,"No"
"402","Nrip1","muscle","old",0.228,20.7,9.26,5.23,0.197,0.373,"No"
"493","Myadm","muscle","young",0.159,0.295,5.71,5.2,0.196,0.375,"No"
"153","Dnajb4","muscle","old",0.247,7.58,22.4,6.49,0.192,0.384,"No"
"118","Dgat2","muscle","young",0.29,16.7,13.3,6.19,0.191,0.385,"No"
"218","Bzw2","muscle","aged",0.0899,3.16,2.84,7.3,0.19,0.388,"No"
"337","Ston2","muscle","young",0.132,20.2,9.82,6.9,0.189,0.39,"No"
"271","Pdgfra","muscle","young",0.084,9.67,20.3,4.87,0.188,0.391,"No"
"180","Srxn1","muscle","old",0.181,7.18,22.8,5.74,0.184,0.4,"No"
"408","Purb","muscle","old",0.248,1.53,4.47,5.36,0.184,0.4,"No"
"3","Mst1","muscle","old",0.13,1.57e-08,6,0.065,0.182,0.405,"No"
"99","Mei1","muscle","old",0.0188,8,22,0.00939,0.182,0.405,"No"
"266","Gpr158","muscle","aged",0.021,4,2,0.0105,0.182,0.405,"No"
"267","Gpr158","muscle","old",0.0285,20,10,0.0142,0.182,0.405,"No"
"50","Mcm7","muscle","aged",0.0841,18.8,11.2,3.64,0.178,0.414,"No"
"48","Gas1","muscle","old",0.206,4.79,1.21,3.94,0.177,0.417,"No"
"358","Ctdspl","muscle","young",0.14,3.42,2.58,2.95,0.174,0.424,"No"
"345","Asb11","muscle","old",0.128,7.67,22.3,7.84,0.172,0.427,"No"
"268","P2ry1","muscle","young",0.171,9.31,20.7,3.9,0.171,0.431,"No"
"240","Rbm34","muscle","old",0.125,3.69,2.31,3.99,0.169,0.434,"No"
"58","Esco1","muscle","young",0.0809,12.2,17.8,4.54,0.169,0.435,"No"
"228","Rps2","muscle","old",0.16,15.9,14.1,9.56,0.169,0.435,"No"
"169","Mmp11","muscle","young",0.113,3.93,2.07,2.32,0.168,0.436,"No"
"198","Trim23","muscle","old",0.199,1.96,4.04,5.61,0.166,0.441,"No"
"295","Nf1","muscle","young",0.0957,2.34,3.66,4.59,0.164,0.446,"No"
"470","Btbd7","muscle","aged",0.14,14,16,5.11,0.163,0.45,"No"
"447","Kcng4","muscle","old",0.186,4.54,1.46,5.09,0.16,0.457,"No"
"33","Pcolce2","muscle","old",0.232,15.3,14.7,3.26,0.159,0.458,"No"
"181","Txnrd1","muscle","young",0.0451,14,16,6.96,0.159,0.459,"No"
"62","G0s2","muscle","aged",0.275,13.2,16.8,5.15,0.156,0.467,"No"
"150","Cct3","muscle","old",0.104,7.54,22.5,6.89,0.154,0.471,"No"
"304","Taok1","muscle","young",0.059,14.5,15.5,6.35,0.153,0.473,"No"
"17","Podxl","muscle","aged",0.223,9.31,20.7,5.68,0.152,0.476,"No"
"284","Gna11","muscle","aged",0.0367,9.56,20.4,6.15,0.152,0.476,"No"
"241","Angptl7","muscle","young",0.38,14.2,15.8,4.18,0.152,0.477,"No"
"78","Cd163","muscle","old",0.196,8.35,21.6,3.51,0.15,0.481,"No"
"335","Lin7c","muscle","aged",0.0406,3.95,2.05,5.62,0.149,0.483,"No"
"359","Ctdspl","muscle","aged",0.183,2.56,3.44,2.8,0.145,0.493,"No"
"119","Dgat2","muscle","aged",0.291,19,11,5.79,0.143,0.5,"No"
"433","Atp1b1","muscle","young",0.246,22.1,7.88,7.94,0.141,0.504,"No"
"344","Asb11","muscle","aged",0.0823,1.31,4.69,7.75,0.14,0.507,"No"
"371","Hey1","muscle","aged",0.204,13.7,16.3,2.93,0.137,0.515,"No"
"441","Abcc1","muscle","old",0.155,1.06,4.94,6.16,0.133,0.526,"No"
"410","Rarb","muscle","aged",0.0554,0.806,5.19,4.42,0.131,0.532,"No"
"321","Nosip","muscle","old",0.0907,14.4,15.6,5.54,0.127,0.542,"No"
"217","Bzw2","muscle","young",0.0437,4.97,1.03,7.24,0.123,0.555,"No"
"49","Mcm7","muscle","young",0.0529,18.7,11.3,3.72,0.12,0.562,"No"
"163","Art5","muscle","young",0.132,20.8,9.21,5.18,0.12,0.562,"No"
"315","Ywhaq","muscle","old",0.194,5.63,0.368,4.39,0.119,0.566,"No"
"445","Kcng4","muscle","young",0.178,9.99,20,5.69,0.117,0.572,"No"
"76","Cd163","muscle","young",0.184,15.9,14.1,3.41,0.116,0.574,"No"
"484","4930529C04Rik","muscle","young",0.0213,1.9,4.1,0.0187,0.116,0.575,"No"
"432","Cygb","muscle","old",0.105,23.1,6.88,4.53,0.115,0.578,"No"
"340","Arnt","muscle","young",0.0542,19.8,10.2,6.09,0.113,0.584,"No"
"497","Prrc1","muscle","aged",0.0882,12.9,17.1,5.5,0.113,0.584,"No"
"81","Ogg1","muscle","old",0.122,22,7.99,3.08,0.106,0.603,"No"
"444","Abcc12","muscle","old",0.0221,1.21,4.79,0.021,0.106,0.603,"No"
"438","Pllp","muscle","old",0.152,8.12,21.9,0.737,0.105,0.607,"No"
"242","Angptl7","muscle","aged",0.363,18.4,11.6,4.08,0.103,0.612,"No"
"189","Fbxl7","muscle","old",0.133,2.87,3.13,0.995,0.103,0.613,"No"
"367","Foxk2","muscle","young",0.05,0.901,5.1,6.33,0.102,0.615,"No"
"157","Slmap","muscle","young",0.0489,18.4,11.6,6.86,0.102,0.617,"No"
"42","Ccnc","muscle","old",0.176,2.58,3.42,3.39,0.101,0.618,"No"
"34","Klra4","muscle","young",0.013,15.9,14.1,0.013,0.1,0.622,"No"
"179","Srxn1","muscle","aged",0.0661,10.7,19.3,5.47,0.1,0.622,"No"
"140","Myh1","muscle","aged",0.183,10.6,19.4,11.7,0.0988,0.626,"No"
"60","Esco1","muscle","old",0.146,1.78,4.22,4.19,0.0984,0.627,"No"
"106","Fech","muscle","young",0.0238,11.1,18.9,7.84,0.0979,0.629,"No"
"325","Tubb3","muscle","young",0.0559,21.5,8.55,0.525,0.0974,0.631,"No"
"113","Aldh2","muscle","aged",0.112,9.21,20.8,7.42,0.097,0.632,"No"
"23","Col4a1","muscle","aged",0.209,7.2,22.8,6.22,0.0957,0.636,"No"
"506","Zfp706","muscle","aged",0.0608,4.18,1.82,6.55,0.0954,0.637,"No"
"186","Denr","muscle","old",0.0923,18.4,11.6,5.98,0.0906,0.652,"No"
"195","Psma1","muscle","old",0.117,12,18,6.72,0.0891,0.657,"No"
"188","Fbxl7","muscle","aged",0.0801,10.9,19.1,1.31,0.0888,0.658,"No"
"53","Sept8","muscle","aged",0.165,10.9,19.1,4.07,0.088,0.661,"No"
"87","Ucp3","muscle","old",0.258,19,11,6.66,0.0836,0.675,"No"
"183","Txnrd1","muscle","old",0.108,5.77,0.229,6.74,0.0832,0.677,"No"
"320","Nosip","muscle","aged",0.0528,3.69,2.31,5.35,0.0798,0.688,"No"
"142","Actc1","muscle","young",0.231,5.89,0.114,6.4,0.0773,0.696,"No"
"272","Pdgfra","muscle","aged",0.112,4.63,1.37,4.74,0.0772,0.697,"No"
"125","Pank1","muscle","aged",0.127,2.09,3.91,4.57,0.0762,0.7,"No"
"409","Rarb","muscle","young",0.0473,3.5,2.5,4.23,0.0756,0.702,"No"
"14","Kitl","muscle","aged",0.0523,8.13,21.9,5.27,0.0743,0.706,"No"
"305","Taok1","muscle","aged",0.0409,0.67,5.33,6.36,0.0743,0.706,"No"
"443","Abcc12","muscle","aged",0.0185,21.2,8.85,0.0653,0.0659,0.736,"No"
"466","Rragc","muscle","young",0.0253,3.88,2.12,5.45,0.0651,0.739,"No"
"37","Anxa9","muscle","young",0.0853,2.81,3.19,0.51,0.0631,0.746,"No"
"480","Tspan13","muscle","old",0.087,0.644,5.36,5,0.0625,0.748,"No"
"79","Ogg1","muscle","young",0.0621,14.9,15.1,3.04,0.0617,0.751,"No"
"209","Egln3","muscle","aged",0.127,9.48,20.5,5.45,0.0592,0.76,"No"
"258","Epha2","muscle","old",0.0925,3.09,2.91,1.85,0.0587,0.762,"No"
"332","Gabarapl1","muscle","aged",0.0903,15.9,14.1,6.1,0.0586,0.762,"No"
"164","Art5","muscle","aged",0.0771,0.207,5.79,5.26,0.0568,0.769,"No"
"243","Angptl7","muscle","old",0.247,10.9,19.1,3.73,0.0565,0.77,"No"
"252","Npc1","muscle","old",0.182,1.93,4.07,6.37,0.0519,0.787,"No"
"160","Adamts9","muscle","young",0.0586,12.4,17.6,2.78,0.0491,0.797,"No"
"469","Btbd7","muscle","young",0.035,10.3,19.7,5.25,0.0491,0.797,"No"
"47","Gas1","muscle","aged",0.0671,7.51,22.5,4.47,0.0465,0.807,"No"
"229","Xpo1","muscle","young",0.0368,4.18,1.82,5.63,0.0454,0.811,"No"
"302","Rac1","muscle","aged",0.0254,7.85,22.2,8.22,0.0452,0.812,"No"
"51","Mcm7","muscle","old",0.0781,7.22,22.8,3.9,0.0428,0.821,"No"
"276","Mt2","muscle","old",0.194,3.48,2.52,3.64,0.0409,0.829,"No"
"393","Mycbp","muscle","old",0.05,4.11,1.89,4.35,0.0399,0.832,"No"
"26","Col4a2","muscle","aged",0.127,7.84,22.2,5.98,0.0382,0.839,"No"
"178","Srxn1","muscle","young",0.0509,12.7,17.3,5.41,0.0366,0.846,"No"
"269","P2ry1","muscle","aged",0.0959,9.04,21,3.56,0.0343,0.855,"No"
"187","Fbxl7","muscle","young",0.0521,5.2,0.797,1.47,0.0335,0.858,"No"
"372","Hey1","muscle","old",0.0618,8.44,21.6,2.54,0.0317,0.865,"No"
"101","Morc3","muscle","aged",0.0205,19.7,10.3,4.35,0.0293,0.875,"No"
"120","Dgat2","muscle","old",0.115,8.7,21.3,5.78,0.0263,0.887,"No"
"219","Bzw2","muscle","old",0.033,7.32,22.7,7.32,0.0242,0.896,"No"
"375","Hivep2","muscle","old",0.0756,0.798,5.2,6.43,0.024,0.897,"No"
"105","Pdk4","muscle","old",0.178,3.07,2.93,8.21,0.0221,0.904,"No"
"236","Ddx55","muscle","aged",0.0325,7.85,22.2,3.45,0.0219,0.905,"No"
"494","Myadm","muscle","aged",0.0712,14.6,15.4,4.91,0.0211,0.909,"No"
"104","Pdk4","muscle","aged",0.114,22.1,7.94,8.55,0.0199,0.914,"No"
"95","Fabp9","muscle","aged",0.00823,3.98,2.02,0.0361,0.017,0.926,"No"
"112","Aldh2","muscle","young",0.0392,1.16,4.84,7.47,0.0162,0.929,"No"
"507","Zfp706","muscle","old",0.0292,11.9,18.1,6.33,0.0161,0.93,"No"
"289","Ipmk","muscle","young",0.019,4.56,1.44,5.56,0.0151,0.934,"No"
"303","Rac1","muscle","old",0.0249,23.3,6.72,7.78,0.0146,0.936,"No"
"75","Pfn2","muscle","old",0.023,11.1,18.9,8.15,0.012,0.947,"No"
"213","Ddit4","muscle","old",0.0676,14.7,15.3,3.64,0.0113,0.95,"No"
"74","Pfn2","muscle","aged",0.0163,17.8,12.2,8.34,0.00782,0.965,"No"
"434","Atp1b1","muscle","aged",0.0478,2.55,3.45,7.65,0.00772,0.966,"No"
"275","Mt2","muscle","aged",0.047,0.308,5.69,3,0.00723,0.968,"No"
"165","Art5","muscle","old",0.0342,12.9,17.1,5.53,0.00663,0.971,"No"
"437","Pllp","muscle","aged",0.0254,22.5,7.48,1.24,0.0024,0.989,"No"
"31","Pcolce2","muscle","young",0.0162,16.2,13.8,3.68,0.0021,0.991,"No"
"257","Epha2","muscle","aged",0.0214,6.15,23.8,2.03,0.00187,0.992,"No"
"312","Ulk1","muscle","old",0.0188,2.13,3.87,6.8,0.00175,0.992,"No"
"238","Rbm34","muscle","young",0.00495,5.35,0.65,4.09,0.00158,0.993,"No"
"485","4930529C04Rik","muscle","aged",0.00142,20,10,0.0136,0.0011,0.995,"No"
"274","Mt2","muscle","young",0.0117,3.29,2.71,2.57,0.000727,0.997,"No"
